STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:123418,GOSHEN 3 SW IN US,20090917 14:45,4.93,-9999
COOP:123418,GOSHEN 3 SW IN US,20090918 18:15,4.93,-9999
COOP:123418,GOSHEN 3 SW IN US,20090919 14:45,4.93,-9999
COOP:123418,GOSHEN 3 SW IN US,20090919 19:00,4.92,-9999
COOP:123418,GOSHEN 3 SW IN US,20090920 17:30,4.93,0.1
COOP:123418,GOSHEN 3 SW IN US,20090922 15:30,4.94,0.1
COOP:123418,GOSHEN 3 SW IN US,20090922 19:00,4.96,0.2
COOP:123418,GOSHEN 3 SW IN US,20090922 19:15,4.97,0.1
COOP:123418,GOSHEN 3 SW IN US,20090922 19:30,4.98,0.1
COOP:123418,GOSHEN 3 SW IN US,20090922 20:15,4.99,0.1
