
Date / Time: Thu Mar 30 14:21:26 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 2
 - 10
 - 4
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
  -- 4 : 8 = 0.1333
  -- 4 : 9 = 0.2268
  -- 4 : 10 = 0.0552
  -- 5 : 1 = 0.1966
  -- 5 : 2 = 0.3481
  -- 5 : 3 = 0.0351
  -- 5 : 4 = 0.5195
  -- 5 : 5 = 0.008
  -- 5 : 6 = 0.2391
  -- 5 : 7 = 0.2524
  -- 5 : 8 = 0.7875
  -- 5 : 9 = 0.2269
  -- 5 : 10 = 0.8892
  -- 6 : 1 = 0.5753
  -- 6 : 2 = 0.017
  -- 6 : 3 = 0.2125
  -- 6 : 4 = 0.8724
  -- 6 : 5 = 0.1985
  -- 6 : 6 = 0.0209
  -- 6 : 7 = 0.0984
  -- 6 : 8 = 0.6447
  -- 6 : 9 = 0.3285
  -- 6 : 10 = 0.0327
  -- 7 : 1 = 0.3092
  -- 7 : 2 = 0.4292
  -- 7 : 3 = 0.9374
  -- 7 : 4 = 0.0636
  -- 7 : 5 = 0.3262
  -- 7 : 6 = 0.4727
  -- 7 : 7 = 0.9126
  -- 7 : 8 = 0.2263
  -- 7 : 9 = 0.1446
  -- 7 : 10 = 0.8311
  -- 8 : 1 = 0.26
  -- 8 : 2 = 0.2165
  -- 8 : 3 = 0.8352
  -- 8 : 4 = 0.1787
  -- 8 : 5 = 0.9365
  -- 8 : 6 = 0.0963
  -- 8 : 7 = 0.436
  -- 8 : 8 = 0.0735
  -- 8 : 9 = 0.7833
  -- 8 : 10 = 0.5422
  -- 9 : 1 = 0.0806
  -- 9 : 2 = 0.0041
  -- 9 : 3 = 0.5805
  -- 9 : 4 = 0.9432
  -- 9 : 5 = 0.2034
  -- 9 : 6 = 0.2689
  -- 9 : 7 = 0.0974
  -- 9 : 8 = 0.2542
  -- 9 : 9 = 0.0682
  -- 9 : 10 = 0.5008
  -- 10 : 1 = 0.0333
  -- 10 : 2 = 0.6664
  -- 10 : 3 = 0.165
  -- 10 : 4 = 0.0152
  -- 10 : 5 = 0.2776
  -- 10 : 6 = 0.752
  -- 10 : 7 = 0.8475
  -- 10 : 8 = 0.1156
  -- 10 : 9 = 0.1242
  -- 10 : 10 = 0.6087
  Inner Net 2
  -- 1 : 1 = 0.3719
  -- 1 : 2 = 0.5345
  -- 1 : 3 = 0.1279
  -- 1 : 4 = 0.49
  -- 2 : 1 = 0.0748
  -- 2 : 2 = 0.715
  -- 2 : 3 = 0.1322
  -- 2 : 4 = 0.1102
  -- 3 : 1 = 0.0391
  -- 3 : 2 = 0.0304
  -- 3 : 3 = 0.7258
  -- 3 : 4 = 0.4476
  -- 4 : 1 = 0.9859
  -- 4 : 2 = 0.4969
  -- 4 : 3 = 0.5146
  -- 4 : 4 = 0.6187
  -- 5 : 1 = 0.7226
  -- 5 : 2 = 0.7529
  -- 5 : 3 = 0.4408
  -- 5 : 4 = 0.0944
  -- 6 : 1 = 0.7338
  -- 6 : 2 = 0.9958
  -- 6 : 3 = 0.0889
  -- 6 : 4 = 0.0623
  -- 7 : 1 = 0.5228
  -- 7 : 2 = 0.068
  -- 7 : 3 = 0.6827
  -- 7 : 4 = 0.1259
  -- 8 : 1 = 0.8417
  -- 8 : 2 = 0.8136
  -- 8 : 3 = 0.0267
  -- 8 : 4 = 0.2255
  -- 9 : 1 = 0.8046
  -- 9 : 2 = 0.7883
  -- 9 : 3 = 0.0151
  -- 9 : 4 = 0.3548
  -- 10 : 1 = 0.6362
  -- 10 : 2 = 0.6137
  -- 10 : 3 = 0.1942
  -- 10 : 4 = 0.6644
  Inner Net 3
  -- 1 : 1 = -0.289109
  -- 1 : 2 = 0.189289
  -- 2 : 1 = -0.503041
  -- 2 : 2 = -0.0219755
  -- 3 : 1 = 0.624176
  -- 3 : 2 = 0.394602
  -- 4 : 1 = 0.171042
  -- 4 : 2 = -0.0176967
Out\Act	False		True
False	0	0.84198	0.84198
True	0	0.15802	0.15802
	0	1
	Accuracy [ (tp + tn) / testSize ]: 0.15802
	Precision [ tp / (tp + fp) ]:      0.157945
	Sensitivity [ tp / (tp + fn) ]:    0.996997
	Specificity [ tn / (tn + fp) ]:    0
	F-Score [ 2tp / (2tp + fp + fn) ]: 0.272802
Particle (7):: Fit: 13.2687	PB: 13.2687	LB: 14.5239	GB: 14.8015	Conf: 0.748348	Pts: 80294
Particle (10):: Fit: 11.705	PB: 11.705	LB: 14.5239	GB: 14.8015	Conf: 0.932539	Pts: 85194
Particle (15):: Fit: 11.7083	PB: 11.7083	LB: 14.5239	GB: 14.8015	Conf: 0.476444	Pts: 65294
Particle (22):: Fit: 10.1222	PB: 10.1222	LB: 11.7351	GB: 14.8015	Conf: 0.983836	Pts: 65294
Particle (24):: Fit: 13.2435	PB: 13.2435	LB: 13.2435	GB: 14.8015	Conf: 0.61825	Pts: 175294
