
Date / Time: Thu Mar 30 23:50:48 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
  -- 3 : 3 = 0.7824
  -- 3 : 4 = 0.0341
  -- 3 : 5 = 0.7382
  -- 3 : 6 = 0.9379
  -- 3 : 7 = 0.1419
  -- 3 : 8 = 0.2647
  -- 3 : 9 = 0.6845
  -- 3 : 10 = 0.7854
  -- 4 : 1 = 0.9282
  -- 4 : 2 = 0.9903
  -- 4 : 3 = 0.8104
  -- 4 : 4 = 0.1503
  -- 4 : 5 = 0.8661
  -- 4 : 6 = 0.4835
  -- 4 : 7 = 0.8298
  -- 4 : 8 = 0.6144
  -- 4 : 9 = 0.7243
  -- 4 : 10 = 0.0714
  -- 5 : 1 = 0.1594
  -- 5 : 2 = 0.8174
  -- 5 : 3 = 0.2936
  -- 5 : 4 = 0.3975
  -- 5 : 5 = 0.9684
  -- 5 : 6 = 0.4227
  -- 5 : 7 = 0.2004
  -- 5 : 8 = 0.8821
  -- 5 : 9 = 0.12
  -- 5 : 10 = 0.7204
  -- 6 : 1 = 0.081
  -- 6 : 2 = 0.394
  -- 6 : 3 = 0.4839
  -- 6 : 4 = 0.2524
  -- 6 : 5 = 0.435
  -- 6 : 6 = 0.7603
  -- 6 : 7 = 0.6211
  -- 6 : 8 = 0.6745
  -- 6 : 9 = 0.9603
  -- 6 : 10 = 0.0654
  -- 7 : 1 = 0.5542
  -- 7 : 2 = 0.919
  -- 7 : 3 = 0.0252
  -- 7 : 4 = 0.3658
  -- 7 : 5 = 0.8206
  -- 7 : 6 = 0.8105
  -- 7 : 7 = 0.8497
  -- 7 : 8 = 0.8334
  -- 7 : 9 = 0.8328
  -- 7 : 10 = 0.1981
  -- 8 : 1 = 0.6677
  -- 8 : 2 = 0.0628
  -- 8 : 3 = 0.1106
  -- 8 : 4 = 0.2659
  -- 8 : 5 = 0.9493
  -- 8 : 6 = 0.8753
  -- 8 : 7 = 0.6245
  -- 8 : 8 = 0.298
  -- 8 : 9 = 0.1091
  -- 8 : 10 = 0.3281
  -- 9 : 1 = 0.6787
  -- 9 : 2 = 0.393
  -- 9 : 3 = 0.6708
